,index,product_url,product_name,domain_name,image_url,actual_price,discounted_price,screenshot_path
522,523,https://www.flipkart.com/asus-vivobook-14-core-i3-10th-gen-8-gb-256-gb-ssd-windows-10-home-x415fa-bv341t-thin-light-laptop/p/itm8aefcbefccef8?pid=COMG9UA3ZXFZNGHU&lid=LSTCOMG9UA3ZXFZNGHUXZYTSE&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=01de3be8-a938-4f93-9229-cc6122a81eca.COMG9UA3ZXFZNGHU.SEARCH&ppt=None&ppn=None&ssid=ueiwjr5wdc0000001649094245400&qH=312f91285e048e09,"ASUS VivoBook 14 Core i3 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) X415FA-BV341T Thin and Light Laptop  (14 inch, Slate Grey, 1.80 kg)",FlipKart,https://rukminim2.flixcart.com/image/416/416/kxc5nrk0/computer/v/x/b/x415fa-bv341t-thin-and-light-laptop-asus-original-imag9tmvv4zh6jzb.jpeg?q=70,"₹46,990","₹33,875",/Product_Screenshots/Flipkart523.png
523,524,https://www.flipkart.com/asus-vivobook-k15-oled-2021-ryzen-5-hexa-core-5500u-8-gb-1-tb-hdd-256-gb-ssd-windows-11-home-km513ua-l503ws-thin-light-laptop/p/itm72faeb2467ad4?pid=COMG87FFE9RGSKED&lid=LSTCOMG87FFE9RGSKEDSXER3P&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=01de3be8-a938-4f93-9229-cc6122a81eca.COMG87FFE9RGSKED.SEARCH&ppt=None&ppn=None&ssid=ueiwjr5wdc0000001649094245400&qH=312f91285e048e09,"ASUS VivoBook K15 OLED (2021) Ryzen 5 Hexa Core 5500U - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) KM513UA-L503WS Thin and Light Laptop  (15.6 inch, Transparent Silver, 1.80 kg, With MS Office)",FlipKart,https://rukminim2.flixcart.com/image/416/416/l13whow0/computer/o/s/h/-original-imagcqvpmys2cmg3.jpeg?q=70,"₹78,990","₹57,990",/Product_Screenshots/Flipkart524.png
524,525,https://www.flipkart.com/msi-gf65-thin-core-i7-10th-gen-16-gb-1-tb-ssd-windows-10-home-6-gb-graphics-nvidia-geforce-rtx-3060-144-hz-10ue-410in-gaming-laptop/p/itm4883b261a85ea?pid=COMG5AWTPR8FHHVA&lid=LSTCOMG5AWTPR8FHHVAMZKZO3&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=01de3be8-a938-4f93-9229-cc6122a81eca.COMG5AWTPR8FHHVA.SEARCH&ppt=None&ppn=None&ssid=ueiwjr5wdc0000001649094245400&qH=312f91285e048e09,"MSI GF65 Thin Core i7 10th Gen - (16 GB/1 TB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce RTX 3060/144 Hz) GF65 Thin 10UE-410IN Gaming Laptop  (15.6 inch, Black, 1.86 kg)",FlipKart,https://rukminim2.flixcart.com/image/416/416/ktszgy80/computer/a/4/a/gf65-thin-10ue-410in-gaming-laptop-msi-original-imag72h6wn7ktgzy.jpeg?q=70,"₹1,23,990","₹84,990",/Product_Screenshots/Flipkart525.png
525,526,https://www.flipkart.com/dell-vostro-ryzen-3-dual-core-r3-3250u-8-gb-1-tb-hdd-windows-11-home-3405-thin-light-laptop/p/itma47a896a440ff?pid=COMG9NYDTKAQKCAW&lid=LSTCOMG9NYDTKAQKCAW1ESTPX&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=01de3be8-a938-4f93-9229-cc6122a81eca.COMG9NYDTKAQKCAW.SEARCH&ppt=None&ppn=None&ssid=ueiwjr5wdc0000001649094245400&qH=312f91285e048e09,"DELL Vostro Ryzen 3 Dual Core R3-3250U - (8 GB/1 TB HDD/Windows 11 Home) Vostro 3405 Thin and Light Laptop  (14 inch, Accent Black, 1.59 Kg, With MS Office)",FlipKart,https://rukminim1.flixcart.com/image/416/416/krf91u80/computer/2/m/b/na-thin-and-light-laptop-dell-original-imag585xzyrystrc.jpeg?q=70,"₹50,651","₹35,990",/Product_Screenshots/Flipkart526.png
526,527,https://www.flipkart.com/dell-vostro-core-i3-10th-gen-8-gb-256-gb-ssd-windows-10-home-3401-thin-light-laptop/p/itmc839af2e15f47?pid=COMFYZC5YBX2GG2F&lid=LSTCOMFYZC5YBX2GG2FZ9KHVR&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=01de3be8-a938-4f93-9229-cc6122a81eca.COMFYZC5YBX2GG2F.SEARCH&ppt=None&ppn=None&ssid=ueiwjr5wdc0000001649094245400&qH=312f91285e048e09,"DELL Vostro Core i3 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) Vostro 3401 Thin and Light Laptop  (14 inch, Dune, 1.58 kg, With MS Office)",FlipKart,https://rukminim2.flixcart.com/image/416/416/kn7sdjk0/computer/l/w/f/na-notebook-dell-original-imagfy6ah6k6jqdh.jpeg?q=70,"₹43,312","₹39,490",/Product_Screenshots/Flipkart527.png
527,528,https://www.flipkart.com/lenovo-core-i3-10th-gen-8-gb-512-gb-ssd-windows-11-home-15iml05-thin-light-laptop/p/itm9598743eb6f50?pid=COMG9VHHUTKFZFMU&lid=LSTCOMG9VHHUTKFZFMU5KRYEU&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=01de3be8-a938-4f93-9229-cc6122a81eca.COMG9VHHUTKFZFMU.SEARCH&ppt=None&ppn=None&ssid=ueiwjr5wdc0000001649094245400&qH=312f91285e048e09,"Lenovo Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15IML05 Thin and Light Laptop  (15.6 inch, Platinum Grey, 1.7 Kg, With MS Office)",FlipKart,https://rukminim2.flixcart.com/image/416/416/keaaavk0/computer/x/m/y/lenovo-na-laptop-original-imafuzt8r5jqppfn.jpeg?q=70,"₹62,190","₹39,990",/Product_Screenshots/Flipkart528.png
528,529,https://www.flipkart.com/dell-vostro-core-i3-10th-gen-8-gb-256-gb-ssd-windows-10-home-3401-thin-light-laptop/p/itmc839af2e15f47?pid=COMFYZC5YBX2GG2F&lid=LSTCOMFYZC5YBX2GG2FZ9KHVR&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_25&otracker=search&otracker1=search&fm=organic&iid=3ef4c821-f18d-4a6d-9b1b-ec8bcacb3485.COMFYZC5YBX2GG2F.SEARCH&ppt=None&ppn=None&ssid=wak5uwgn400000001649094247398&qH=312f91285e048e09,"DELL Vostro Core i3 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) Vostro 3401 Thin and Light Laptop  (14 inch, Dune, 1.58 kg, With MS Office)",FlipKart,https://rukminim1.flixcart.com/image/416/416/kn7sdjk0/computer/l/w/f/na-notebook-dell-original-imagfy6ah6k6jqdh.jpeg?q=70,"₹43,312","₹39,490",/Product_Screenshots/Flipkart529.png
529,530,https://www.flipkart.com/apple-2020-macbook-air-m1-8-gb-256-gb-ssd-mac-os-big-sur-mgn63hn-a/p/itmde54f026889ce?pid=COMFXEKMGNHZYFH9&lid=LSTCOMFXEKMGNHZYFH9P56X45&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_26&otracker=search&otracker1=search&fm=organic&iid=3ef4c821-f18d-4a6d-9b1b-ec8bcacb3485.COMFXEKMGNHZYFH9.SEARCH&ppt=None&ppn=None&ssid=wak5uwgn400000001649094247398&qH=312f91285e048e09,"APPLE 2020 Macbook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A  (13.3 inch, Space Grey, 1.29 kg)",FlipKart,https://rukminim2.flixcart.com/image/416/416/kp5sya80/screen-guard/tempered-glass/o/v/n/apple-macbook-air-m1-13-3-inch-lightwings-original-imag3gh5xftgbpg3.jpeg?q=70,"₹92,900","₹85,999",/Product_Screenshots/Flipkart530.png
530,531,https://www.flipkart.com/nokia-purebook-x14-core-i5-10th-gen-8-gb-512-gb-ssd-windows-10-home-nki510ul85s-thin-light-laptop/p/itmdc10c8866a3a4?pid=COMFUJ4NXDKZ4VFN&lid=LSTCOMFUJ4NXDKZ4VFNROFWVT&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_27&otracker=search&otracker1=search&fm=organic&iid=3ef4c821-f18d-4a6d-9b1b-ec8bcacb3485.COMFUJ4NXDKZ4VFN.SEARCH&ppt=None&ppn=None&ssid=wak5uwgn400000001649094247398&qH=312f91285e048e09,"Nokia PureBook X14 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) NKi510UL85S Thin and Light Laptop  (14 inch, Black, 1.1 kg)",FlipKart,https://rukminim2.flixcart.com/image/416/416/kvtuxe80/computer/p/2/t/-original-imag8n7ukhkkenas.jpeg?q=70,"₹90,000","₹53,990",/Product_Screenshots/Flipkart531.png
531,532,https://www.flipkart.com/asus-vivobook-k15-oled-2021-ryzen-5-hexa-core-5500u-8-gb-1-tb-hdd-256-gb-ssd-windows-11-home-km513ua-l502ws-thin-light-laptop/p/itmbe79f1096e453?pid=COMG87FFPDWUZAKE&lid=LSTCOMG87FFPDWUZAKEIKWIHF&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_2_28&otracker=search&otracker1=search&fm=organic&iid=3ef4c821-f18d-4a6d-9b1b-ec8bcacb3485.COMG87FFPDWUZAKE.SEARCH&ppt=None&ppn=None&ssid=wak5uwgn400000001649094247398&qH=312f91285e048e09,NA,FlipKart,NA,,,/Product_Screenshots/Flipkart532.png
